title,ingredients,directions,ingredients_clean,directions_clean,vegetarian
Pineapple Sweet Potatoes,"[""4 medium sweet potatoes (unpeeled)"", ""vegetable oil spray"", ""1/2 c. pineapple juice"", ""2 Tbsp. vegetable oil"", ""2 Tbsp. crushed pineapple"", ""1/2 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1/2 tsp. allspice"", ""1 Tbsp. molasses"", ""1 Tbsp. margarine""]","[""Boil potatoes until tender (approximately 30 minutes)."", ""Remove skins."", ""Preheat oven to 425\u00b0."", ""Lightly spray a 1-quart baking dish with vegetable spray."", ""Mash potatoes."", ""Add pineapple juice, oil and whip until fluffy."", ""Add pineapple, cinnamon, nutmeg and allspice."", ""Mix well."", ""Place in baking dish."", ""Spread molasses over the top."", ""Dot with margarine."", ""Bake, uncovered, for 15 minutes or until thoroughly heated.""]","4 medium sweet potatoes (unpeeled)"", ""vegetable oil spray"", ""1/2 c. pineapple juice"", ""2 Tbsp. vegetable oil"", ""2 Tbsp. crushed pineapple"", ""1/2 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1/2 tsp. allspice"", ""1 Tbsp. molasses"", ""1 Tbsp. margarine","Boil potatoes until tender (approximately 30 minutes)."", ""Remove skins."", ""Preheat oven to 425\u00b0."", ""Lightly spray a 1-quart baking dish with vegetable spray."", ""Mash potatoes."", ""Add pineapple juice, oil and whip until fluffy."", ""Add pineapple, cinnamon, nutmeg and allspice."", ""Mix well."", ""Place in baking dish."", ""Spread molasses over the top."", ""Dot with margarine."", ""Bake, uncovered, for 15 minutes or until thoroughly heated.",True
Oreo Cookie Dessert,"[""1 large bag Oreo cookies"", ""2 boxes chocolate instant pudding, mixed according to directions"", ""1 container Cool Whip"", ""1 c. nuts (optional)""]","[""Line bottom of dish with 1/2 crushed cookies."", ""Then spread pudding."", ""Then spread rest of crushed cookies."", ""Spread Cool Whip and then nuts.""]","1 large bag Oreo cookies"", ""2 boxes chocolate instant pudding, mixed according to directions"", ""1 container Cool Whip"", ""1 c. nuts (optional)","Line bottom of dish with 1/2 crushed cookies."", ""Then spread pudding."", ""Then spread rest of crushed cookies."", ""Spread Cool Whip and then nuts.",True
Chocolate Peppermint Pie,"[""1 Tbsp. cocoa"", ""1/2 c. sugar"", ""1 (4 oz.) pkg. chocolate pudding mix"", ""1 tsp. vanilla"", ""2 c. heavy cream"", ""2 frozen ice cream shells""]","[""Combine cocoa and sugar."", ""Add to pudding mix and prepare as directed on package."", ""Cool; add vanilla."", ""Whip cream and fold into chocolate mixture."", ""Pour into peppermint stick ice cream shells. Freeze.""]","1 Tbsp. cocoa"", ""1/2 c. sugar"", ""1 (4 oz.) pkg. chocolate pudding mix"", ""1 tsp. vanilla"", ""2 c. heavy cream"", ""2 frozen ice cream shells","Combine cocoa and sugar."", ""Add to pudding mix and prepare as directed on package."", ""Cool; add vanilla."", ""Whip cream and fold into chocolate mixture."", ""Pour into peppermint stick ice cream shells. Freeze.",True
Fresh Apple Cake,"[""3 c. flour"", ""1 1/4 c. oil"", ""2 c. sugar"", ""2 eggs"", ""1 c. chopped nuts"", ""2 tsp. vanilla"", ""3 c. raw apples, diced"", ""1 tsp. salt"", ""1 tsp. soda"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg""]","[""Sift dry ingredients together."", ""Add oil and vanilla."", ""Beat until smooth."", ""Beat eggs until foamy."", ""Add sugar and blend together."", ""Fold into batter."", ""Add nuts and apples."", ""Pour into greased tube pan."", ""Bake 1 hour at 350\u00b0.""]","3 c. flour"", ""1 1/4 c. oil"", ""2 c. sugar"", ""2 eggs"", ""1 c. chopped nuts"", ""2 tsp. vanilla"", ""3 c. raw apples, diced"", ""1 tsp. salt"", ""1 tsp. soda"", ""1 tsp. cinnamon"", ""1 tsp. nutmeg","Sift dry ingredients together."", ""Add oil and vanilla."", ""Beat until smooth."", ""Beat eggs until foamy."", ""Add sugar and blend together."", ""Fold into batter."", ""Add nuts and apples."", ""Pour into greased tube pan."", ""Bake 1 hour at 350\u00b0.",True
Brunch Casserole,"[""8 eggs, slightly beaten"", ""6 slices bread, cubed"", ""2 c. milk"", ""1 1/2 c. shredded Cheddar cheese"", ""1 lb. mild pork sausage"", ""1/2 tsp. salt"", ""seasoned pepper to taste""]","[""Brown pork sausage."", ""Drain and crumble."", ""Mix all other ingredients together."", ""Put in greased 9 x 13-inch baking dish. Refrigerate overnight."", ""Bake at 350\u00b0 for 35 to 45 minutes until set and brown."", ""Serve hot."", ""Serves 6.""]","8 eggs, slightly beaten"", ""6 slices bread, cubed"", ""2 c. milk"", ""1 1/2 c. shredded Cheddar cheese"", ""1 lb. mild pork sausage"", ""1/2 tsp. salt"", ""seasoned pepper to taste","Brown pork sausage."", ""Drain and crumble."", ""Mix all other ingredients together."", ""Put in greased 9 x 13-inch baking dish. Refrigerate overnight."", ""Bake at 350\u00b0 for 35 to 45 minutes until set and brown."", ""Serve hot."", ""Serves 6.",False
Crystal's Crab Mold,"[""1 c. cream of mushroom soup"", ""6 oz. cream cheese, softened"", ""1 Tbsp. Knox gelatine (1 pkg.)"", ""3 Tbsp. water"", ""1 c. chopped celery"", ""4 green onions, chopped"", ""1 (7 oz.) can crab meat"", ""1 c. mayo""]","[""In large bowl, dissolve the gelatine in water."", ""Heat soup and add to gelatine."", ""Add rest of ingredients; mix and mold (i.e., Tupperware jello mold container)."", ""Chill 6 hours."", ""Unmold."", ""Serve with crackers.""]","1 c. cream of mushroom soup"", ""6 oz. cream cheese, softened"", ""1 Tbsp. Knox gelatine (1 pkg.)"", ""3 Tbsp. water"", ""1 c. chopped celery"", ""4 green onions, chopped"", ""1 (7 oz.) can crab meat"", ""1 c. mayo","In large bowl, dissolve the gelatine in water."", ""Heat soup and add to gelatine."", ""Add rest of ingredients; mix and mold (i.e., Tupperware jello mold container)."", ""Chill 6 hours."", ""Unmold."", ""Serve with crackers.",True
Fried Green Tomatoes,"[""1 1/2 c. well shaken buttermilk"", ""2 large eggs"", ""1 1/2 c. self-rising flour"", ""1 tsp. salt"", ""1 tsp. freshly ground black pepper"", ""2 c. vegetable oil"", ""3 large green tomatoes, cut into 1/4-inch slices (about 1 1/2 lb.)""]","[""In a bowl, whisk together buttermilk, 1 tablespoon flour, 1/2 teaspoon salt, 1/2 teaspoon pepper."", ""Immerse tomato slices in mixture."", ""In a heavy skillet, heat over moderate heat until candy thermometer registers 350\u00b0."", ""While oil is heating, whisk together the remaining flour, salt and pepper."", ""Dredge tomatoes (1 at a time) in seasoned flour, shaking off excess and fry in batches of 6 (do not crowd in skillet) until golden brown on both sides. Transfer slices to paper towel to drain."", ""Sprinkle with salt.""]","1 1/2 c. well shaken buttermilk"", ""2 large eggs"", ""1 1/2 c. self-rising flour"", ""1 tsp. salt"", ""1 tsp. freshly ground black pepper"", ""2 c. vegetable oil"", ""3 large green tomatoes, cut into 1/4-inch slices (about 1 1/2 lb.)","In a bowl, whisk together buttermilk, 1 tablespoon flour, 1/2 teaspoon salt, 1/2 teaspoon pepper."", ""Immerse tomato slices in mixture."", ""In a heavy skillet, heat over moderate heat until candy thermometer registers 350\u00b0."", ""While oil is heating, whisk together the remaining flour, salt and pepper."", ""Dredge tomatoes (1 at a time) in seasoned flour, shaking off excess and fry in batches of 6 (do not crowd in skillet) until golden brown on both sides. Transfer slices to paper towel to drain."", ""Sprinkle with salt.",True
Peg's Shrimp Yummies,"[""1 large pkg. cream cheese"", ""1 small bottle chili sauce"", ""1/4 to 1/2 lb. cooked salad shrimp"", ""1/2 c. or more chopped green onions""]","[""Place cheese on dish."", ""Pour 3/4 sauce over cheese."", ""Place shrimp on top and add rest of sauce."", ""Sprinkle with green onions. Place crackers around dish.""]","1 large pkg. cream cheese"", ""1 small bottle chili sauce"", ""1/4 to 1/2 lb. cooked salad shrimp"", ""1/2 c. or more chopped green onions","Place cheese on dish."", ""Pour 3/4 sauce over cheese."", ""Place shrimp on top and add rest of sauce."", ""Sprinkle with green onions. Place crackers around dish.",False
Zucchini-Stuffing Casserole,"[""2 lb. squash"", ""1 large onion, chopped"", ""1 c. sour cream"", ""1 can undiluted cream of chicken soup"", ""1 large bag stuffing mix""]","[""Cook squash until tender, drain, mash lightly and drain again. Make stuffing according to directions."", ""Layer 1/2 of stuffing on bottom of 9 x 12-inch casserole dish."", ""Mix rest of ingredients together, layer and then top with remaining stuffing."", ""Bake at 350\u00b0 for 45 to 60 minutes.""]","2 lb. squash"", ""1 large onion, chopped"", ""1 c. sour cream"", ""1 can undiluted cream of chicken soup"", ""1 large bag stuffing mix","Cook squash until tender, drain, mash lightly and drain again. Make stuffing according to directions."", ""Layer 1/2 of stuffing on bottom of 9 x 12-inch casserole dish."", ""Mix rest of ingredients together, layer and then top with remaining stuffing."", ""Bake at 350\u00b0 for 45 to 60 minutes.",False
Tater Tot Casserole,"[""1 lb. ground beef"", ""1 medium onion"", ""1 medium green pepper"", ""1 pkg. frozen peas or corn"", ""1 can cream of mushroom soup"", ""1 pkg. Tater Tots"", ""Velveeta cheese"", ""season to taste""]","[""Brown ground beef with onion, bell pepper and season to taste. Layer in dish with frozen vegetables and mushroom soup."", ""Add a layer of Velveeta cheese. Top with a layer of Tater Tots and bake at 350\u00b0 for 45 minutes.""]","1 lb. ground beef"", ""1 medium onion"", ""1 medium green pepper"", ""1 pkg. frozen peas or corn"", ""1 can cream of mushroom soup"", ""1 pkg. Tater Tots"", ""Velveeta cheese"", ""season to taste","Brown ground beef with onion, bell pepper and season to taste. Layer in dish with frozen vegetables and mushroom soup."", ""Add a layer of Velveeta cheese. Top with a layer of Tater Tots and bake at 350\u00b0 for 45 minutes.",False
Lemon Pineapple Salad,"[""2 c. miniature marshmallows"", ""1 c. milk"", ""1 (3 oz.) pkg. lemon flavor jello"", ""6 oz. cream cheese, softened"", ""1/3 c. mayonnaise"", ""1 lb. 4 oz. can crushed pineapple, drained"", ""1 c. whipping cream, whipped""]","[""Melt marshmallows in milk over low heat; pour jello in, stirring until dissolved."", ""Combine softened cream cheese and mayonnaise, mixing until well blended."", ""Gradually add jello mixture, mixing until well blended."", ""Stir in pineapple."", ""Chill until slightly thickened."", ""Fold in whipped cream."", ""Pour into 2-quart mold; chill until firm."", ""Unmold if you like."", ""Makes 12 servings.""]","2 c. miniature marshmallows"", ""1 c. milk"", ""1 (3 oz.) pkg. lemon flavor jello"", ""6 oz. cream cheese, softened"", ""1/3 c. mayonnaise"", ""1 lb. 4 oz. can crushed pineapple, drained"", ""1 c. whipping cream, whipped","Melt marshmallows in milk over low heat; pour jello in, stirring until dissolved."", ""Combine softened cream cheese and mayonnaise, mixing until well blended."", ""Gradually add jello mixture, mixing until well blended."", ""Stir in pineapple."", ""Chill until slightly thickened."", ""Fold in whipped cream."", ""Pour into 2-quart mold; chill until firm."", ""Unmold if you like."", ""Makes 12 servings.",True
Chocolate Pudding Cake,"[""1 cup brown sugar"", ""1/2 cup cocoa"", ""2 cups water"", ""12 large marshmallow"", ""1 box Devils Food cake mix"", ""1 cup nuts""]","[""Mix brown sugar and cocoa in 13 x 9 pan."", ""Stir in water until well blended. Snip marshmallows into quarters and scatter over mixture."", ""Prepare cake batter and spoon over mixture."", ""Top with nuts."", ""Bake for 45-50 minutes at 350 degrees."", ""Serve warm, topped with whipped cream or ice cream."", ""Delicious!""]","1 cup brown sugar"", ""1/2 cup cocoa"", ""2 cups water"", ""12 large marshmallow"", ""1 box Devils Food cake mix"", ""1 cup nuts","Mix brown sugar and cocoa in 13 x 9 pan."", ""Stir in water until well blended. Snip marshmallows into quarters and scatter over mixture."", ""Prepare cake batter and spoon over mixture."", ""Top with nuts."", ""Bake for 45-50 minutes at 350 degrees."", ""Serve warm, topped with whipped cream or ice cream."", ""Delicious!",True
Chuckwagon Stew,"[""2 1/2 lb. beef cubes (5 cups)"", ""2 Tbsp. all-purpose flour"", ""1 Tbsp. paprika"", ""1 tsp. chili powder"", ""2 tsp. salt"", ""2 Tbsp. lard"", ""2 sliced onions"", ""1 clove garlic, minced"", ""28 oz. can tomatoes"", ""2 Tbsp. chili powder"", ""1 tbsp. cinnamon"", ""1 tsp. ground cloves"", ""1/2 to 1 tsp. dry crushed red pepper"", ""2 c. chopped potatoes"", ""2 c. chopped carrots""]","[""Coat beef in mixture of flour, paprika, 1 teaspoon chili powder and salt."", ""Brown in hot fat in large Dutch oven."", ""Add onion and garlic; cooking until soft.""]","2 1/2 lb. beef cubes (5 cups)"", ""2 Tbsp. all-purpose flour"", ""1 Tbsp. paprika"", ""1 tsp. chili powder"", ""2 tsp. salt"", ""2 Tbsp. lard"", ""2 sliced onions"", ""1 clove garlic, minced"", ""28 oz. can tomatoes"", ""2 Tbsp. chili powder"", ""1 tbsp. cinnamon"", ""1 tsp. ground cloves"", ""1/2 to 1 tsp. dry crushed red pepper"", ""2 c. chopped potatoes"", ""2 c. chopped carrots","Coat beef in mixture of flour, paprika, 1 teaspoon chili powder and salt."", ""Brown in hot fat in large Dutch oven."", ""Add onion and garlic; cooking until soft.",False
French Pastries,"[""2 cans crescent rolls"", ""2 (8 oz.) pkg. cream cheese"", ""1 1/4 c. sugar"", ""1 egg yolk"", ""1 tsp. vanilla"", ""3/4 c. chopped pecans""]","[""Press 1 can of crescent rolls into a 13 x 9-inch pan, sealing perforations."", ""Cream 1 cup sugar with cream cheese and vanilla. Spread this over dough."", ""Top with remaining can of dough."", ""Brush with egg yolk."", ""Sprinkle with remaining 1/4 cup of sugar and pecans."", ""Bake at 350\u00b0 for 30 minutes."", ""Best when served same day at room temperature.""]","2 cans crescent rolls"", ""2 (8 oz.) pkg. cream cheese"", ""1 1/4 c. sugar"", ""1 egg yolk"", ""1 tsp. vanilla"", ""3/4 c. chopped pecans","Press 1 can of crescent rolls into a 13 x 9-inch pan, sealing perforations."", ""Cream 1 cup sugar with cream cheese and vanilla. Spread this over dough."", ""Top with remaining can of dough."", ""Brush with egg yolk."", ""Sprinkle with remaining 1/4 cup of sugar and pecans."", ""Bake at 350\u00b0 for 30 minutes."", ""Best when served same day at room temperature.",True
Golden Ruhl Broccoli,"[""2 to 3 bunches broccoli"", ""1 can cream of mushroom soup"", ""2 eggs"", ""1 bunch green onions, thinly sliced"", ""1 c. mayonnaise"", ""1 large pkg. Cheddar cheese, shredded"", ""1 1/2 c. Ritz crackers, crushed"", ""1/2 stick margarine, melted""]","[""Cut off tips of broccoli only and steam or boil until almost done."", ""Meanwhile, mix soup, eggs, onions, mayonnaise and cheese and put in a 9 x 13-inch baking dish.""]","2 to 3 bunches broccoli"", ""1 can cream of mushroom soup"", ""2 eggs"", ""1 bunch green onions, thinly sliced"", ""1 c. mayonnaise"", ""1 large pkg. Cheddar cheese, shredded"", ""1 1/2 c. Ritz crackers, crushed"", ""1/2 stick margarine, melted","Cut off tips of broccoli only and steam or boil until almost done."", ""Meanwhile, mix soup, eggs, onions, mayonnaise and cheese and put in a 9 x 13-inch baking dish.",True
Frozen Fruit Salad,"[""1 (10 oz.) pkg. frozen strawberries, thawed"", ""1 large can crushed pineapple, drained"", ""1 (8 oz.) pkg. cream cheese"", ""3/4 c. sugar"", ""3 or 4 bananas, sliced"", ""1 c. nuts"", ""1 (8 oz.) carton Cool Whip"", ""1 tsp. lemon juice""]","[""Cream sugar and cream cheese. Add strawberries and juice, pineapple and bananas, nuts, Cool Whip and lemon"", ""juice."", ""Put in a 9 x 13-inch pan or 24 muffin paper cups. Freeze.""]","1 (10 oz.) pkg. frozen strawberries, thawed"", ""1 large can crushed pineapple, drained"", ""1 (8 oz.) pkg. cream cheese"", ""3/4 c. sugar"", ""3 or 4 bananas, sliced"", ""1 c. nuts"", ""1 (8 oz.) carton Cool Whip"", ""1 tsp. lemon juice","Cream sugar and cream cheese. Add strawberries and juice, pineapple and bananas, nuts, Cool Whip and lemon"", ""juice."", ""Put in a 9 x 13-inch pan or 24 muffin paper cups. Freeze.",True
Spaghetti-N-Meat,"[""2 lb. ground chuck"", ""1 lb. spaghetti"", ""1 jar Ragu sauce"", ""1 pkg. spaghetti mix"", ""1 can Hunt's tomato sauce"", ""1 small bell pepper, chopped"", ""1/2 tsp. pepper"", ""1/2 c. butter"", ""1/2 c. celery, chopped"", ""1 c. shredded cheese"", ""1/2 tsp. salt"", ""1 small onion, chopped""]","[""Melt butter in skillet."", ""Add bell pepper, onion, celery and ground chuck."", ""Cook slow until done."", ""Mix in spaghetti mix, Ragu sauce and tomato sauce."", ""Simmer 20 minutes."", ""Boil spaghetti. Rinse with cold water."", ""Add to the meat sauce."", ""Cook for 10 more minutes."", ""Cover with cheese."", ""Put lid on pot."", ""Turn off heat. Serve with salad or cold slaw and garlic bread.""]","2 lb. ground chuck"", ""1 lb. spaghetti"", ""1 jar Ragu sauce"", ""1 pkg. spaghetti mix"", ""1 can Hunt's tomato sauce"", ""1 small bell pepper, chopped"", ""1/2 tsp. pepper"", ""1/2 c. butter"", ""1/2 c. celery, chopped"", ""1 c. shredded cheese"", ""1/2 tsp. salt"", ""1 small onion, chopped","Melt butter in skillet."", ""Add bell pepper, onion, celery and ground chuck."", ""Cook slow until done."", ""Mix in spaghetti mix, Ragu sauce and tomato sauce."", ""Simmer 20 minutes."", ""Boil spaghetti. Rinse with cold water."", ""Add to the meat sauce."", ""Cook for 10 more minutes."", ""Cover with cheese."", ""Put lid on pot."", ""Turn off heat. Serve with salad or cold slaw and garlic bread.",True
Ham And Egg Pasta,"[""8 oz. uncooked whole wheat or regular fettuccini"", ""2 Tbsp. olive oil"", ""1/2 c. sliced green onions"", ""1/2 c. dairy sour cream"", ""2 Tbsp. skim milk"", ""1/4 c. chopped fresh parsley"", ""1/2 tsp. salt"", ""1/8 tsp. pepper"", ""1 1/2 c. julienne cut turkey ham or cooked ham"", ""4 eggs, hard-cooked and cut into wedges""]","[""Cook fettuccini to desired doneness as directed on package. Drain; rinse with hot water."", ""Keep warm."", ""In large skillet over medium-high heat, heat oil."", ""Saute onions for 1 to 2 minutes or until crisp-tender."", ""Reduce heat to medium."", ""Stir in sour cream, milk, parsley, salt and pepper."", ""Cook, stirring constantly, until hot."", ""Do not boil."", ""Stir in turkey ham, egg wedges and fettuccini; toss gently."", ""Makes 4 (1 1/2 cup) servings.""]","8 oz. uncooked whole wheat or regular fettuccini"", ""2 Tbsp. olive oil"", ""1/2 c. sliced green onions"", ""1/2 c. dairy sour cream"", ""2 Tbsp. skim milk"", ""1/4 c. chopped fresh parsley"", ""1/2 tsp. salt"", ""1/8 tsp. pepper"", ""1 1/2 c. julienne cut turkey ham or cooked ham"", ""4 eggs, hard-cooked and cut into wedges","Cook fettuccini to desired doneness as directed on package. Drain; rinse with hot water."", ""Keep warm."", ""In large skillet over medium-high heat, heat oil."", ""Saute onions for 1 to 2 minutes or until crisp-tender."", ""Reduce heat to medium."", ""Stir in sour cream, milk, parsley, salt and pepper."", ""Cook, stirring constantly, until hot."", ""Do not boil."", ""Stir in turkey ham, egg wedges and fettuccini; toss gently."", ""Makes 4 (1 1/2 cup) servings.",False
Fresh Apple Cake,"[""4 1/2 c. raw apples, chopped"", ""lemon juice"", ""1 1/2 c. salad oil"", ""2 c. sugar"", ""2 large eggs"", ""2 1/2 c. all-purpose flour"", ""1 tsp. salt"", ""1 tsp. baking soda"", ""2 tsp. baking powder"", ""2 tsp. vanilla"", ""1 1/2 c. pecans, chopped""]","[""Prepare apples."", ""Put a little lemon juice over them; set aside and cover."", ""Add sugar and"", ""eggs"", ""to"", ""oil; mix well at low speed until creamy and"", ""smooth."", ""Sift"", ""flour and measure."", ""Sift again with salt, soda and"", ""baking powder."", ""Add flour mixture to creamed mixture a little at"", ""a"", ""time."", ""Fold"", ""in well after each addition; add vanilla."", ""When"", ""batter"", ""is stiff, remove beaters and finish mixing by hand."", ""Fold in apples and nuts."", ""Bake in a 9 x 13-inch pan for 55 minutes to 1 hour at 350\u00b0.""]","4 1/2 c. raw apples, chopped"", ""lemon juice"", ""1 1/2 c. salad oil"", ""2 c. sugar"", ""2 large eggs"", ""2 1/2 c. all-purpose flour"", ""1 tsp. salt"", ""1 tsp. baking soda"", ""2 tsp. baking powder"", ""2 tsp. vanilla"", ""1 1/2 c. pecans, chopped","Prepare apples."", ""Put a little lemon juice over them; set aside and cover."", ""Add sugar and"", ""eggs"", ""to"", ""oil; mix well at low speed until creamy and"", ""smooth."", ""Sift"", ""flour and measure."", ""Sift again with salt, soda and"", ""baking powder."", ""Add flour mixture to creamed mixture a little at"", ""a"", ""time."", ""Fold"", ""in well after each addition; add vanilla."", ""When"", ""batter"", ""is stiff, remove beaters and finish mixing by hand."", ""Fold in apples and nuts."", ""Bake in a 9 x 13-inch pan for 55 minutes to 1 hour at 350\u00b0.",True
Saucy Apple Swirl,"[""1/4 c. sugar"", ""2 tsp. cinnamon"", ""1 pkg. yellow cake mix"", ""1 2/3 c. applesauce (15 oz. jar)"", ""3 beaten eggs"", ""1/2 c. nuts""]","[""Grease and flour tube pan. Put 1/2 batter in pan. Mix sugar and cinnamon and sprinkle most over batter."", ""Also, sprinkle most of nuts."", ""Add rest of batter and sprinkle rest of nuts and sugar-cinnamon."", ""Bake in 350\u00b0 oven for 35 to 45 minutes, sometimes longer.""]","1/4 c. sugar"", ""2 tsp. cinnamon"", ""1 pkg. yellow cake mix"", ""1 2/3 c. applesauce (15 oz. jar)"", ""3 beaten eggs"", ""1/2 c. nuts","Grease and flour tube pan. Put 1/2 batter in pan. Mix sugar and cinnamon and sprinkle most over batter."", ""Also, sprinkle most of nuts."", ""Add rest of batter and sprinkle rest of nuts and sugar-cinnamon."", ""Bake in 350\u00b0 oven for 35 to 45 minutes, sometimes longer.",True
Unbaked Fruit Cake,"[""1 lb. pkg. vanilla wafers"", ""1 lb. pecans"", ""1 lb. raisins"", ""1 lb. candied cherries"", ""1 (14 oz.) condensed milk (Eagle Brand)"", ""1 lb. walnuts"", ""1 lb. dates"", ""1 can (3 1/2 oz.) coconut"", ""1 lb. candied pineapple"", ""1 lb. pkg. marshmallows""]","[""Crush vanilla wafers. Cut candied fruit into pieces."", ""Leave nuts whole."", ""Mix all ingredients except milk and marshmallows. Melt marshmallows in milk and mix with other ingredients."", ""When mixed well, pack in angel food pan or 3 small loaf pans."", ""When cool, remove from pan and wrap in wax paper at room temperature.""]","1 lb. pkg. vanilla wafers"", ""1 lb. pecans"", ""1 lb. raisins"", ""1 lb. candied cherries"", ""1 (14 oz.) condensed milk (Eagle Brand)"", ""1 lb. walnuts"", ""1 lb. dates"", ""1 can (3 1/2 oz.) coconut"", ""1 lb. candied pineapple"", ""1 lb. pkg. marshmallows","Crush vanilla wafers. Cut candied fruit into pieces."", ""Leave nuts whole."", ""Mix all ingredients except milk and marshmallows. Melt marshmallows in milk and mix with other ingredients."", ""When mixed well, pack in angel food pan or 3 small loaf pans."", ""When cool, remove from pan and wrap in wax paper at room temperature.",True
Apple Crisp,"[""2 cans applesauce"", ""2/3 to 3/4 c. brown sugar, packed"", ""1/2 c. flour"", ""3/4 tsp. ground cinnamon"", ""3/4 tsp. ground nutmeg"", ""1/3 c. melted butter"", ""1/2 c. rolled oats""]","[""Heat oven to 375\u00b0 and grease an 8 x 8 x 2-inch baking pan. Place applesauce in the bottom of the pan."", ""Mix remaining ingredients in mixing bowl and sprinkle on top of the applesauce. Bake until golden brown, 15 to 20 minutes and serve warm."", ""Makes 6 servings.""]","2 cans applesauce"", ""2/3 to 3/4 c. brown sugar, packed"", ""1/2 c. flour"", ""3/4 tsp. ground cinnamon"", ""3/4 tsp. ground nutmeg"", ""1/3 c. melted butter"", ""1/2 c. rolled oats","Heat oven to 375\u00b0 and grease an 8 x 8 x 2-inch baking pan. Place applesauce in the bottom of the pan."", ""Mix remaining ingredients in mixing bowl and sprinkle on top of the applesauce. Bake until golden brown, 15 to 20 minutes and serve warm."", ""Makes 6 servings.",True
Holiday Hermit Cookies,"[""1 c. soft shortening"", ""1 c. sugar"", ""1 c. firmly packed brown sugar"", ""2 eggs"", ""2 1/2 c. sifted flour"", ""1/2 tsp. salt"", ""1/2 tsp. soda"", ""1 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1/2 c. buttermilk"", ""1/2 c. raisins"", ""1/2 diced mixed candied fruit"", ""1/2 c. chopped walnuts"", ""1 1/2 c. oatmeal""]","[""Beat shortening and sugars together until creamy."", ""Beat in eggs."", ""Sift dry ingredients."", ""Add to cream mixture along with buttermilk, beginning and ending with dry ingredients."", ""Stir in the remaining ingredients."", ""Drop by teaspoonfuls onto a lightly greased cookie sheet."", ""Bake at 350\u00b0 for 12 to 15 minutes.""]","1 c. soft shortening"", ""1 c. sugar"", ""1 c. firmly packed brown sugar"", ""2 eggs"", ""2 1/2 c. sifted flour"", ""1/2 tsp. salt"", ""1/2 tsp. soda"", ""1 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1/2 c. buttermilk"", ""1/2 c. raisins"", ""1/2 diced mixed candied fruit"", ""1/2 c. chopped walnuts"", ""1 1/2 c. oatmeal","Beat shortening and sugars together until creamy."", ""Beat in eggs."", ""Sift dry ingredients."", ""Add to cream mixture along with buttermilk, beginning and ending with dry ingredients."", ""Stir in the remaining ingredients."", ""Drop by teaspoonfuls onto a lightly greased cookie sheet."", ""Bake at 350\u00b0 for 12 to 15 minutes.",True
Pinto Bean Pie,"[""2 c. sugar"", ""1/2 c. melted butter"", ""1 Tbsp. vanilla"", ""4 eggs, beaten"", ""1 c. mashed pinto beans"", ""1 unbaked pie shell""]","[""Combine first 5 ingredients."", ""Mix well; pour into pie shell. Bake at 350\u00b0 until firm.""]","2 c. sugar"", ""1/2 c. melted butter"", ""1 Tbsp. vanilla"", ""4 eggs, beaten"", ""1 c. mashed pinto beans"", ""1 unbaked pie shell","Combine first 5 ingredients."", ""Mix well; pour into pie shell. Bake at 350\u00b0 until firm.",True
Cranberry Relish,"[""1 bag cranberries"", ""4 or 5 apples"", ""2 or 3 oranges, diced"", ""1 c. sugar"", ""1 large box dry cherry or strawberry jello""]","[""Prepare the cranberries and apples in a food processor or blender."", ""Mix together the oranges, sugar and dry Jell-O, then combine all ingredients together."", ""It is best to let the relish set a couple of days before you use it."", ""The relish can also be frozen.""]","1 bag cranberries"", ""4 or 5 apples"", ""2 or 3 oranges, diced"", ""1 c. sugar"", ""1 large box dry cherry or strawberry jello","Prepare the cranberries and apples in a food processor or blender."", ""Mix together the oranges, sugar and dry Jell-O, then combine all ingredients together."", ""It is best to let the relish set a couple of days before you use it."", ""The relish can also be frozen.",True
"Seviche - Raw Fish, Mexican Style And Salsa(Actually The Lemon Juice Cooks The Fish, So It's Not Really Raw.)  ","[""1 1/2 lb. fresh whitefish (red snapper, halibut, yellowtail or even cod)"", ""1 c. fresh lemon juice"", ""6 fresh tomatoes"", ""3 tomatillos"", ""1 bunch cilantro"", ""2 cloves garlic"", ""salt to taste"", ""Serrano chili peppers *"", ""1/2 c. lemon juice"", ""1 yellow onion"", ""1/2 tsp. oregano""]","[""*Vary the number of chilies according to your \""heat tolerance\"" or just don't use them."", ""I prefer at least 3.""]","1 1/2 lb. fresh whitefish (red snapper, halibut, yellowtail or even cod)"", ""1 c. fresh lemon juice"", ""6 fresh tomatoes"", ""3 tomatillos"", ""1 bunch cilantro"", ""2 cloves garlic"", ""salt to taste"", ""Serrano chili peppers *"", ""1/2 c. lemon juice"", ""1 yellow onion"", ""1/2 tsp. oregano","*Vary the number of chilies according to your \""heat tolerance\"" or just don't use them."", ""I prefer at least 3.",False
